,Time,Scenario,Carbon price (US$2010/t CO2),E12 Emission,Cost E12,Cost E3,Reduced Asset E12,Reduced Asset E123,A/D E12,A/D E123,PD E12,PD E123
0,2025,Nationally Determined Contributions (NDCs) ,25.6532531474326,224000000.0,5746328705.024902,16674614545.83119,270025989934.8051,253351375388.97394,10.051836049294117,9.431116200659037,1.2697511977418795e-33,6.375020445233232e-32
1,2030,Nationally Determined Contributions (NDCs) ,76.7320264625369,179200000.0,13750379142.08661,49875817200.64898,262021939497.7434,212146122297.09442,9.753881757031175,7.897232560238929,8.172754930755485e-33,1.9794486814912605e-27
2,2035,Nationally Determined Contributions (NDCs) ,86.9034962083527,134400000.0,11679829890.402603,56487272535.42926,264092488749.42743,207605216213.99817,9.830958862145915,7.728195337290329,5.033081301135697e-33,6.600298592221482e-27
3,2040,Nationally Determined Contributions (NDCs) ,88.8078574230948,89600000.0,7957184025.109294,57725107325.01162,267815134614.72073,210090027289.7091,9.969535989171892,7.820693520715365,2.11682889964042e-33,3.408970363295046e-27
4,2045,Nationally Determined Contributions (NDCs) ,90.7122186378369,44800000.0,4063907394.975093,58962942114.59399,271708411244.85492,212745469130.26093,10.114464921346553,7.919543509289085,8.620025914487745e-34,1.690271753794034e-27
5,2050,Nationally Determined Contributions (NDCs) ,92.616579852579,0.0,0.0,60200776904.176346,275772318639.83,215571541735.6537,10.265745658669898,8.024745303011489,3.4014993025437295e-34,8.052412830636534e-28
6,2025,Delayed transition,0.0,224000000.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
7,2030,Delayed transition,0.0,179200000.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
8,2035,Delayed transition,343.556706043628,134400000.0,46174021292.2636,223311858928.35822,229598297347.5664,6286438419.208191,8.546897440102088,0.23401543065954883,2.188883269980904e-29,0.9999999999998654
9,2040,Delayed transition,583.336530035282,89600000.0,52266953091.16126,379168744522.9333,223505365548.66876,-155663378974.26453,8.320085378356339,-5.794637637311226,1.0322403832318366e-28,
10,2045,Delayed transition,591.538912685074,44800000.0,26500943288.291317,384500293245.2981,249271375351.5387,-135228917893.7594,9.279236407653501,-5.033955850396894,1.6993061315142036e-31,
11,2050,Delayed transition,890.375237765118,0.0,0.0,578743904547.3267,275772318639.83,-302971585907.49664,10.265745658669898,-11.278250326466976,3.4014993025437295e-34,
12,2025,Net Zero 2050,199.48351555771,224000000.0,44684307484.92704,129664285112.5115,231088011154.90298,101423726042.39148,8.602352690744192,3.77554273917406,1.503241233791035e-29,1.3542762439953594e-12
13,2030,Net Zero 2050,239.540999857945,179200000.0,42925747174.54375,155701649907.66425,232846571465.28625,77144921557.62201,8.667815870518243,2.8717535809056582,9.66328906988539e-30,1.1688524605017744e-08
14,2035,Net Zero 2050,320.060806574471,134400000.0,43016172403.6089,208039524273.40613,232756146236.22113,24716621962.815002,8.664449751658715,0.9200871061433143,9.884920684799503e-30,0.6058075306510693
15,2040,Net Zero 2050,488.183229595151,89600000.0,43741217371.725525,317319099236.84814,232031101268.1045,-85287997968.74365,8.637459634338402,-3.1748831761021488,1.1858072646695203e-29,
16,2045,Net Zero 2050,517.121273435331,44800000.0,23167033049.90283,336128827732.96515,252605285589.9272,-83523542143.03796,9.403342680266132,-3.1092005331813777,7.62171094197434e-32,
17,2050,Net Zero 2050,602.380013036337,0.0,0.0,391547008473.6191,275772318639.83,-115774689833.78906,10.265745658669898,-4.309763668112468,3.4014993025437295e-34,
